Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
"STIM1","Stromal Interaction Molecule 1","Protein Coding","Q13586","62","GC11P014188","1.70521950721741","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STIM1"
"ERN1","Endoplasmic Reticulum To Nucleus Signaling 1","Protein Coding","O75460","60","GC17M064039","1.70521950721741","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ERN1"
"CDK9","Cyclin Dependent Kinase 9","Protein Coding","P50750","59","GC09P146597","1.70521950721741","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDK9"
"LMNB1","Lamin B1","Protein Coding","P20700","59","GC05P126776","1.70521950721741","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LMNB1"
"VIPR1","Vasoactive Intestinal Peptide Receptor 1","Protein Coding","P32241","59","GC03P042490","1.70521950721741","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VIPR1"
"ATF1","Activating Transcription Factor 1","Protein Coding","P18846","58","GC12P050763","1.70521950721741","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATF1"
"KARS1","Lysyl-TRNA Synthetase 1","Protein Coding","Q15046","58","GC16M076057","1.70521950721741","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KARS1"
"PIAS1","Protein Inhibitor Of Activated STAT 1","Protein Coding","O75925","58","GC15P068054","1.70521950721741","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIAS1"
"CUX1","Cut Like Homeobox 1","Protein Coding","Q13948","57","GC07P101815","1.70521950721741","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CUX1"
"IARS1","Isoleucyl-TRNA Synthetase 1","Protein Coding","P41252","57","GC09M118065","1.70521950721741","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IARS1"
"KDM4A","Lysine Demethylase 4A","Protein Coding","O75164","57","GC01P043650","1.70521950721741","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KDM4A"
"RACGAP1","Rac GTPase Activating Protein 1","Protein Coding","Q9H0H5","57","GC12M051765","1.70521950721741","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RACGAP1"
"S100B","S100 Calcium Binding Protein B","Protein Coding","P04271","57","GC21M054265","1.70521950721741","https://www.genecards.org/cgi-bin/carddisp.pl?gene=S100B"
"PTK7","Protein Tyrosine Kinase 7 (Inactive)","Protein Coding","Q13308","56","GC06P043076","1.70521950721741","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTK7"
"HNRNPD","Heterogeneous Nuclear Ribonucleoprotein D","Protein Coding","Q14103","55","GC04M082352","1.70521950721741","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HNRNPD"
"KAT8","Lysine Acetyltransferase 8","Protein Coding","Q9H7Z6","55","GC16P105005","1.70521950721741","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KAT8"
"KDM5A","Lysine Demethylase 5A","Protein Coding","P29375","55","GC12M000280","1.70521950721741","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KDM5A"
"KRT16","Keratin 16","Protein Coding","P08779","55","GC17M041609","1.70521950721741","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KRT16"
"MCM6","Minichromosome Maintenance Complex Component 6","Protein Coding","Q14566","55","GC02M135839","1.70521950721741","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MCM6"
"RAD51C","RAD51 Paralog C","Protein Coding","O43502","55","GC17P058692","1.70521950721741","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAD51C"
"TREM1","Triggering Receptor Expressed On Myeloid Cells 1","Protein Coding","Q9NP99","55","GC06M041267","1.70521950721741","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TREM1"
"FLOT1","Flotillin 1","Protein Coding","O75955","54","GC06M100225","1.70521950721741","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FLOT1"
"KLK8","Kallikrein Related Peptidase 8","Protein Coding","O60259","54","GC19M050996","1.70521950721741","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KLK8"
"LIN28A","Lin-28 Homolog A","Protein Coding","Q9H9Z2","54","GC01P026410","1.70521950721741","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LIN28A"
"NUDC","Nuclear Distribution C, Dynein Complex Regulator","Protein Coding","Q9Y266","54","GC01P061276","1.70521950721741","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NUDC"
"PPAT","Phosphoribosyl Pyrophosphate Amidotransferase","Protein Coding","Q06203","54","GC04M056393","1.70521950721741","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPAT"
"RPS16","Ribosomal Protein S16","Protein Coding","P62249","53","GC19M039433","1.70521950721741","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS16"
"MBD3","Methyl-CpG Binding Domain Protein 3","Protein Coding","O95983","52","GC19M099909","1.70521950721741","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MBD3"
"RBBP7","RB Binding Protein 7, Chromatin Remodeling Factor","Protein Coding","Q16576","52","GC0XM016839","1.70521950721741","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RBBP7"
"FLOT2","Flotillin 2","Protein Coding","Q14254","51","GC17M088845","1.70521950721741","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FLOT2"
"SESN2","Sestrin 2","Protein Coding","P58004","51","GC01P061357","1.70521950721741","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SESN2"
"RPS4X","Ribosomal Protein S4 X-Linked","Protein Coding","P62701","49","GC0XM072255","1.70521950721741","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS4X"
"THOC1","THO Complex Subunit 1","Protein Coding","Q96FV9","49","GC18M000204","1.70521950721741","https://www.genecards.org/cgi-bin/carddisp.pl?gene=THOC1"
"CIZ1","CDKN1A Interacting Zinc Finger Protein 1","Protein Coding","Q9ULV3","48","GC09M131026","1.70521950721741","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CIZ1"
"NUF2","NUF2 Component Of NDC80 Kinetochore Complex","Protein Coding","Q9BZD4","48","GC01P163266","1.70521950721741","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NUF2"
"TRIP6","Thyroid Hormone Receptor Interactor 6","Protein Coding","Q15654","48","GC07P100867","1.70521950721741","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRIP6"
"OTUD7B","OTU Deubiquitinase 7B","Protein Coding","Q6GQQ9","47","GC01M149937","1.70521950721741","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OTUD7B"
"RBM25","RNA Binding Motif Protein 25","Protein Coding","P49756","47","GC14P073058","1.70521950721741","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RBM25"
"SRXN1","Sulfiredoxin 1","Protein Coding","Q9BYN0","47","GC20M000687","1.70521950721741","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SRXN1"
"UBA3","Ubiquitin Like Modifier Activating Enzyme 3","Protein Coding","Q8TBC4","47","GC03M069054","1.70521950721741","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UBA3"
"RGCC","Regulator Of Cell Cycle","Protein Coding","Q9H4X1","46","GC13P041457","1.70521950721741","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RGCC"
"CNPY2","Canopy FGF Signaling Regulator 2","Protein Coding","Q9Y2B0","45","GC12M056309","1.70521950721741","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CNPY2"
"MYBBP1A","MYB Binding Protein 1a","Protein Coding","Q9BQG0","45","GC17M004538","1.70521950721741","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYBBP1A"
"HORMAD2","HORMA Domain Containing 2","Protein Coding","Q8N7B1","43","GC22P081227","1.70521950721741","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HORMAD2"
"RN7SL1","RNA Component Of Signal Recognition Particle 7SL1","RNA Gene","","27","GC14P052227","1.70521950721741","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RN7SL1"
"HCG18","HLA Complex Group 18","RNA Gene","","18","GC06M100204","1.70521950721741","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HCG18"
"LIFR-AS1","LIFR Antisense RNA 1","RNA Gene","","16","GC05P038559","1.70521950721741","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LIFR-AS1"
"SNORD47","Small Nucleolar RNA, C/D Box 47","RNA Gene","","16","GC01M175052","1.70521950721741","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNORD47"
"MIR3666","MicroRNA 3666","RNA Gene","","13","GC07P114653","1.70521950721741","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR3666"
"EGR2","Early Growth Response 2","Protein Coding","P11161","58","GC10M062811","1.69716429710388","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EGR2"
"CTBP2","C-Terminal Binding Protein 2","Protein Coding","P56545","55","GC10M124984","1.69716429710388","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTBP2"
"UBE3C","Ubiquitin Protein Ligase E3C","Protein Coding","Q15386","54","GC07P157138","1.69716429710388","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UBE3C"
"THBS3","Thrombospondin 3","Protein Coding","P49746","52","GC01M155195","1.69716429710388","https://www.genecards.org/cgi-bin/carddisp.pl?gene=THBS3"
"PURB","Purine Rich Element Binding Protein B","Protein Coding","Q96QR8","45","GC07M045529","1.69716429710388","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PURB"
"LINC00703","Long Intergenic Non-Protein Coding RNA 703","RNA Gene","","15","GC10P004375","1.69716429710388","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC00703"
"MIR4675","MicroRNA 4675","RNA Gene","","15","GC10P020551","1.69716429710388","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR4675"
"PAX8","Paired Box 8","Protein Coding","Q06710","58","GC02M113215","1.6960506439209","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PAX8"
"CTSG","Cathepsin G","Protein Coding","P08311","56","GC14M024573","1.6960506439209","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTSG"
"LZTR1","Leucine Zipper Like Post Translational Regulator 1","Protein Coding","Q8N653","55","GC22P080906","1.6960506439209","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LZTR1"
"SSX2","SSX Family Member 2","Protein Coding","Q16385","44","GC0XM052696","1.6960506439209","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SSX2"
"HES1","Hes Family BHLH Transcription Factor 1","Protein Coding","Q14469","57","GC03P194136","1.69065093994141","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HES1"
"CYP3A43","Cytochrome P450 Family 3 Subfamily A Member 43","Protein Coding","Q9HB55","51","GC07P108739","1.69065093994141","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP3A43"
"CXCL2","C-X-C Motif Chemokine Ligand 2","Protein Coding","P19875","52","GC04M074097","1.68602013587952","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCL2"
"POTEF","POTE Ankyrin Domain Family Member F","Protein Coding","A5A3E0","40","GC02M130073","1.68602013587952","https://www.genecards.org/cgi-bin/carddisp.pl?gene=POTEF"
"MIR4640","MicroRNA 4640","RNA Gene","","16","GC06P030890","1.68602013587952","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR4640"
"PRKCD","Protein Kinase C Delta","Protein Coding","Q05655","65","GC03P053156","1.67960524559021","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKCD"
"PPP1CA","Protein Phosphatase 1 Catalytic Subunit Alpha","Protein Coding","P62136","61","GC11M132909","1.67960524559021","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPP1CA"
"GOT2","Glutamic-Oxaloacetic Transaminase 2","Protein Coding","P00505","60","GC16M058707","1.67960524559021","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GOT2"
"TNK2","Tyrosine Kinase Non Receptor 2","Protein Coding","Q07912","59","GC03M195863","1.67960524559021","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNK2"
"AQP4","Aquaporin 4","Protein Coding","P55087","58","GC18M026852","1.67960524559021","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AQP4"
"NDUFS1","NADH:Ubiquinone Oxidoreductase Core Subunit S1","Protein Coding","P28331","57","GC02M206114","1.67960524559021","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NDUFS1"
"BCL2L2","BCL2 Like 2","Protein Coding","Q92843","56","GC14P052445","1.67960524559021","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BCL2L2"
"FRK","Fyn Related Src Family Tyrosine Kinase","Protein Coding","P42685","56","GC06M115931","1.67960524559021","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FRK"
"NFIB","Nuclear Factor I B","Protein Coding","O00712","56","GC09M014077","1.67960524559021","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NFIB"
"RANBP2","RAN Binding Protein 2","Protein Coding","P49792","56","GC02P108719","1.67960524559021","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RANBP2"
"RCC1","Regulator Of Chromosome Condensation 1","Protein Coding","P18754","56","GC01P028505","1.67960524559021","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RCC1"
"RPTOR","Regulatory Associated Protein Of MTOR Complex 1","Protein Coding","Q8N122","56","GC17P080544","1.67960524559021","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPTOR"
"CRH","Corticotropin Releasing Hormone","Protein Coding","P06850","55","GC08M066176","1.67960524559021","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CRH"
"CUL2","Cullin 2","Protein Coding","Q13617","55","GC10M036431","1.67960524559021","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CUL2"
"PFKFB3","6-Phosphofructo-2-Kinase/Fructose-2,6-Biphosphatase 3","Protein Coding","Q16875","55","GC10P006144","1.67960524559021","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PFKFB3"
"SALL4","Spalt Like Transcription Factor 4","Protein Coding","Q9UJQ4","55","GC20M051784","1.67960524559021","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SALL4"
"CRTC1","CREB Regulated Transcription Coactivator 1","Protein Coding","Q6UUV9","54","GC19P132625","1.67960524559021","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CRTC1"
"KHDRBS1","KH RNA Binding Domain Containing, Signal Transduction Associated 1","Protein Coding","Q07666","54","GC01P032013","1.67960524559021","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KHDRBS1"
"CTNNBIP1","Catenin Beta Interacting Protein 1","Protein Coding","Q9NSA3","52","GC01M009848","1.67960524559021","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTNNBIP1"
"MAP4","Microtubule Associated Protein 4","Protein Coding","P27816","52","GC03M047850","1.67960524559021","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAP4"
"MRTFA","Myocardin Related Transcription Factor A","Protein Coding","Q969V6","52","GC22M082416","1.67960524559021","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MRTFA"
"RBFOX1","RNA Binding Fox-1 Homolog 1","Protein Coding","Q9NWB1","52","GC16P104149","1.67960524559021","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RBFOX1"
"SFRP2","Secreted Frizzled Related Protein 2","Protein Coding","Q96HF1","52","GC04M153780","1.67960524559021","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SFRP2"
"VAV2","Vav Guanine Nucleotide Exchange Factor 2","Protein Coding","P52735","52","GC09M133761","1.67960524559021","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VAV2"
"FIGNL1","Fidgetin Like 1","Protein Coding","Q6PIW4","51","GC07M050444","1.67960524559021","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FIGNL1"
"RND3","Rho Family GTPase 3","Protein Coding","P61587","51","GC02M150468","1.67960524559021","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RND3"
"SRSF3","Serine And Arginine Rich Splicing Factor 3","Protein Coding","P84103","51","GC06P156444","1.67960524559021","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SRSF3"
"SRSF7","Serine And Arginine Rich Splicing Factor 7","Protein Coding","Q16629","51","GC02M038743","1.67960524559021","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SRSF7"
"BHLHE41","Basic Helix-Loop-Helix Family Member E41","Protein Coding","Q9C0J9","50","GC12M026120","1.67960524559021","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BHLHE41"
"ESRP1","Epithelial Splicing Regulatory Protein 1","Protein Coding","Q6NXG1","50","GC08P094641","1.67960524559021","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ESRP1"
"POLA2","DNA Polymerase Alpha 2, Accessory Subunit","Protein Coding","Q14181","50","GC11P098960","1.67960524559021","https://www.genecards.org/cgi-bin/carddisp.pl?gene=POLA2"
"RPS18","Ribosomal Protein S18","Protein Coding","P62269","50","GC06P156305","1.67960524559021","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS18"
"CCT6A","Chaperonin Containing TCP1 Subunit 6A","Protein Coding","P40227","48","GC07P056051","1.67960524559021","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCT6A"
"GKN1","Gastrokine 1","Protein Coding","Q9NS71","48","GC02P068974","1.67960524559021","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GKN1"
"PRPF19","Pre-MRNA Processing Factor 19","Protein Coding","Q9UMS4","48","GC11M060890","1.67960524559021","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRPF19"
"DCUN1D1","Defective In Cullin Neddylation 1 Domain Containing 1","Protein Coding","Q96GG9","47","GC03M182938","1.67960524559021","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DCUN1D1"
"EP400","E1A Binding Protein P400","Protein Coding","Q96L91","46","GC12P131949","1.67960524559021","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EP400"
"SRSF5","Serine And Arginine Rich Splicing Factor 5","Protein Coding","Q13243","46","GC14P069727","1.67960524559021","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SRSF5"
"PRRC2A","Proline Rich Coiled-Coil 2A","Protein Coding","P48634","45","GC06P156246","1.67960524559021","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRRC2A"
"RAP2B","RAP2B, Member Of RAS Oncogene Family","Protein Coding","P61225","44","GC03P153162","1.67960524559021","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAP2B"
"U2SURP","U2 SnRNP Associated SURP Domain Containing","Protein Coding","O15042","43","GC03P142964","1.67960524559021","https://www.genecards.org/cgi-bin/carddisp.pl?gene=U2SURP"
"SINHCAF","SIN3-HDAC Complex Associated Factor","Protein Coding","Q9NP50","40","GC12M033442","1.67960524559021","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SINHCAF"
"MIR181B2","MicroRNA 181b-2","RNA Gene","","26","GC09P124693","1.67960524559021","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR181B2"
"MIR194-1","MicroRNA 194-1","RNA Gene","","23","GC01M220118","1.67960524559021","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR194-1"
"P2RX5-TAX1BP3","P2RX5-TAX1BP3 Readthrough (NMD Candidate)","RNA Gene","","20","GC17M088103","1.67960524559021","https://www.genecards.org/cgi-bin/carddisp.pl?gene=P2RX5-TAX1BP3"
"EPB41L4A-AS1","EPB41L4A Antisense RNA 1","RNA Gene","","19","GC05P112160","1.67960524559021","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EPB41L4A-AS1"
"LINC01783","Long Intergenic Non-Protein Coding RNA 1783","RNA Gene","","16","GC01M020290","1.67960524559021","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC01783"
"EIF4A1","Eukaryotic Translation Initiation Factor 4A1","Protein Coding","P60842","59","GC17P007572","1.67277729511261","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EIF4A1"
"HBB","Hemoglobin Subunit Beta","Protein Coding","P68871","58","GC11M013431","1.67277729511261","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HBB"
"CCT3","Chaperonin Containing TCP1 Subunit 3","Protein Coding","P49368","54","GC01M156308","1.67277729511261","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCT3"
"LRPPRC","Leucine Rich Pentatricopeptide Repeat Containing","Protein Coding","P42704","54","GC02M043886","1.67277729511261","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LRPPRC"
"FZD8","Frizzled Class Receptor 8","Protein Coding","Q9H461","53","GC10M035638","1.67277729511261","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FZD8"
"USP18","Ubiquitin Specific Peptidase 18","Protein Coding","Q9UMW8","52","GC22P018149","1.67277729511261","https://www.genecards.org/cgi-bin/carddisp.pl?gene=USP18"
"BTBD7","BTB Domain Containing 7","Protein Coding","Q9P203","40","GC14M093237","1.67277729511261","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BTBD7"
"BIN1","Bridging Integrator 1","Protein Coding","O00499","59","GC02M127048","1.66605043411255","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BIN1"
"LIMK1","LIM Domain Kinase 1","Protein Coding","P53667","62","GC07P074082","1.65442681312561","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LIMK1"
"NOTCH4","Notch Receptor 4","Protein Coding","Q99466","58","GC06M100334","1.65442681312561","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOTCH4"
"UBE2T","Ubiquitin Conjugating Enzyme E2 T","Protein Coding","Q9NPD8","55","GC01M202332","1.65442681312561","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UBE2T"
"QKI","QKI, KH Domain Containing RNA Binding","Protein Coding","Q96PU8","54","GC06P163414","1.65442681312561","https://www.genecards.org/cgi-bin/carddisp.pl?gene=QKI"
"TFAP2C","Transcription Factor AP-2 Gamma","Protein Coding","Q92754","53","GC20P056629","1.65442681312561","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TFAP2C"
"HSPA14","Heat Shock Protein Family A (Hsp70) Member 14","Protein Coding","Q0VDF9","49","GC10P014860","1.65442681312561","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSPA14"
"ANKRD18A","Ankyrin Repeat Domain 18A","Protein Coding","Q8IVF6","40","GC09M043807","1.65442681312561","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ANKRD18A"
"CCNP","Cyclin P","Protein Coding","Q9H8S5","33","GC19M101730","1.65442681312561","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCNP"
"CHRM3","Cholinergic Receptor Muscarinic 3","Protein Coding","P20309","61","GC01P239386","1.65252387523651","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHRM3"
"RPS19","Ribosomal Protein S19","Protein Coding","P39019","60","GC19P133127","1.65252387523651","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS19"
"FBLN5","Fibulin 5","Protein Coding","Q9UBX5","59","GC14M091869","1.65252387523651","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FBLN5"
"TPI1","Triosephosphate Isomerase 1","Protein Coding","P60174","59","GC12P006867","1.65252387523651","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TPI1"
"DVL2","Dishevelled Segment Polarity Protein 2","Protein Coding","O14641","58","GC17M007225","1.65252387523651","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DVL2"
"DSG2","Desmoglein 2","Protein Coding","Q14126","57","GC18P031498","1.65252387523651","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DSG2"
"PHF8","PHD Finger Protein 8","Protein Coding","Q9UPP1","57","GC0XM053936","1.65252387523651","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PHF8"
"TRRAP","Transformation/Transcription Domain Associated Protein","Protein Coding","Q9Y4A5","57","GC07P098877","1.65252387523651","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRRAP"
"LPP","LIM Domain Containing Preferred Translocation Partner In Lipoma","Protein Coding","Q93052","56","GC03P188153","1.65252387523651","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LPP"
"ADD3","Adducin 3","Protein Coding","Q9UEY8","55","GC10P109996","1.65252387523651","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADD3"
"HRH4","Histamine Receptor H4","Protein Coding","Q9H3N8","55","GC18P024460","1.65252387523651","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HRH4"
"ID2","Inhibitor Of DNA Binding 2","Protein Coding","Q02363","55","GC02P008678","1.65252387523651","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ID2"
"PLCE1","Phospholipase C Epsilon 1","Protein Coding","Q9P212","55","GC10P093993","1.65252387523651","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLCE1"
"RPLP0","Ribosomal Protein Lateral Stalk Subunit P0","Protein Coding","P05388","55","GC12M120196","1.65252387523651","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPLP0"
"SF3B4","Splicing Factor 3b Subunit 4","Protein Coding","Q15427","55","GC01M149923","1.65252387523651","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SF3B4"
"TAB1","TGF-Beta Activated Kinase 1 (MAP3K7) Binding Protein 1","Protein Coding","Q15750","55","GC22P081529","1.65252387523651","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TAB1"
"ZFHX3","Zinc Finger Homeobox 3","Protein Coding","Q15911","55","GC16M072782","1.65252387523651","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZFHX3"
"PABPC1","Poly(A) Binding Protein Cytoplasmic 1","Protein Coding","P11940","54","GC08M100685","1.65252387523651","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PABPC1"
"PRSS3","Serine Protease 3","Protein Coding","P35030","54","GC09P033750","1.65252387523651","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRSS3"
"RPL13","Ribosomal Protein L13","Protein Coding","P26373","54","GC16P107081","1.65252387523651","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL13"
"KLK5","Kallikrein Related Peptidase 5","Protein Coding","Q9Y337","53","GC19M050943","1.65252387523651","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KLK5"
"CDIPT","CDP-Diacylglycerol--Inositol 3-Phosphatidyltransferase","Protein Coding","O14735","52","GC16M045695","1.65252387523651","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDIPT"
"PTGER1","Prostaglandin E Receptor 1","Protein Coding","P34995","52","GC19M100432","1.65252387523651","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTGER1"
"DPYSL3","Dihydropyrimidinase Like 3","Protein Coding","Q14195","51","GC05M147390","1.65252387523651","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DPYSL3"
"KLF8","KLF Transcription Factor 8","Protein Coding","O95600","51","GC0XP059531","1.65252387523651","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KLF8"
"SNRNP70","Small Nuclear Ribonucleoprotein U1 Subunit 70","Protein Coding","P08621","51","GC19P049085","1.65252387523651","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNRNP70"
"EIF4G2","Eukaryotic Translation Initiation Factor 4 Gamma 2","Protein Coding","P78344","50","GC11M013669","1.65252387523651","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EIF4G2"
"OXA1L","OXA1L Mitochondrial Inner Membrane Protein","Protein Coding","Q15070","50","GC14P022766","1.65252387523651","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OXA1L"
"SLC38A3","Solute Carrier Family 38 Member 3","Protein Coding","Q99624","50","GC03P050205","1.65252387523651","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC38A3"
"RPS8","Ribosomal Protein S8","Protein Coding","P62241","49","GC01P044775","1.65252387523651","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS8"
